8200371,shot,RMS Titanic,"(C, 2)",miss,
8200371,shot,BattleBots,"(J, 2)",miss,
8200371,shot,RMS Titanic,"(H, 7)",miss,
8200371,shot,BattleBots,"(B, 10)",miss,
8200371,shot,RMS Titanic,"(A, 8)",miss,
8200371,shot,BattleBots,"(I, 1)",miss,
8200371,shot,RMS Titanic,"(J, 5)",miss,
8200371,shot,BattleBots,"(A, 9)",miss,
8200371,shot,RMS Titanic,"(I, 8)",hit,submarine
8200371,shot,BattleBots,"(J, 4)",hit,destroyer
8200371,shot,RMS Titanic,"(J, 9)",miss,
8200371,shot,BattleBots,"(J, 5)",miss,
8200371,shot,RMS Titanic,"(J, 7)",miss,
8200371,shot,BattleBots,"(I, 4)",sink,destroyer
8200371,shot,RMS Titanic,"(H, 9)",miss,
8200371,shot,BattleBots,"(C, 9)",miss,
8200371,shot,RMS Titanic,"(I, 2)",miss,
8200371,shot,BattleBots,"(H, 2)",miss,
8200371,shot,RMS Titanic,"(B, 5)",miss,
8200371,shot,BattleBots,"(B, 8)",miss,
8200371,shot,RMS Titanic,"(B, 7)",hit,destroyer
8200371,shot,BattleBots,"(G, 1)",miss,
8200371,shot,RMS Titanic,"(C, 8)",miss,
8200371,shot,BattleBots,"(A, 7)",hit,battleship
8200371,shot,RMS Titanic,"(C, 6)",miss,
8200371,shot,BattleBots,"(B, 7)",miss,
8200371,shot,RMS Titanic,"(A, 6)",miss,
8200371,shot,BattleBots,"(A, 8)",miss,
8200371,shot,RMS Titanic,"(F, 7)",miss,
8200371,shot,BattleBots,"(A, 6)",hit,battleship
8200371,shot,RMS Titanic,"(A, 2)",miss,
8200371,shot,BattleBots,"(A, 5)",hit,battleship
8200371,shot,RMS Titanic,"(A, 4)",miss,
8200371,shot,BattleBots,"(A, 4)",sink,battleship
8200371,shot,RMS Titanic,"(E, 2)",hit,Carrier
8200371,shot,BattleBots,"(D, 8)",miss,
8200371,shot,RMS Titanic,"(F, 3)",miss,
8200371,shot,BattleBots,"(G, 3)",miss,
8200371,shot,RMS Titanic,"(F, 1)",miss,
8200371,shot,BattleBots,"(C, 7)",miss,
8200371,shot,RMS Titanic,"(D, 3)",miss,
8200371,shot,BattleBots,"(F, 2)",hit,crusier
8200371,shot,RMS Titanic,"(D, 1)",miss,
8200371,shot,BattleBots,"(G, 2)",miss,
8200371,shot,RMS Titanic,"(I, 4)",miss,
8200371,shot,BattleBots,"(F, 3)",miss,
8200371,shot,RMS Titanic,"(E, 10)",miss,
8200371,shot,BattleBots,"(E, 2)",hit,crusier
8200371,shot,RMS Titanic,"(J, 1)",miss,
8200371,shot,BattleBots,"(D, 2)",sink,crusier
8200371,shot,RMS Titanic,"(G, 10)",miss,
8200371,shot,BattleBots,"(H, 10)",miss,
8200371,shot,RMS Titanic,"(I, 10)",hit,submarine
8200371,shot,BattleBots,"(I, 7)",miss,
8200371,shot,RMS Titanic,"(J, 10)",miss,
8200371,shot,BattleBots,"(G, 9)",miss,
8200371,shot,RMS Titanic,"(H, 10)",miss,
8200371,shot,BattleBots,"(H, 6)",miss,
8200371,shot,RMS Titanic,"(G, 8)",miss,
8200371,shot,BattleBots,"(F, 8)",miss,
8200371,shot,RMS Titanic,"(F, 5)",hit,battleship
8200371,shot,BattleBots,"(G, 5)",miss,
8200371,shot,RMS Titanic,"(G, 6)",miss,
